"","Rendimento Escolar","Inteligência","Motivação","Ansiedade","Número de Recursos","Índice Acadêmico","Idade","Sexo","Trabalha Atualmente","Design Instrucional","Atitude Postiva EAD","Resolução de Problemas","Rendimento EscolarZ","InteligênciaZ","MotivaçãoZ","AnsiedadeZ","Número de Recursos","Índice AcadêmicoZ","IdadeZ","Atitude Postiva EADZ","Resolução de ProblemasZ"
"1",53.5,92.2,24.3,11.2,5,71.4,21,"Masculino","Estágio","Personalizado",21.6,49.8,-1.10254430962317,-0.598923223928331,1.02640661975139,0.575322813082793,-1.48985052398313,0.110035563723565,-0.451785458067519,-1.10160846857751,-0.155071579822585
"2",64.1,96.8,19.9,8.5,9,53.3,25,"Masculino","Ativ.Remunerada","Personalizado",26.6,50.3,0.347302027439448,-0.25901779169396,-0.0456857545883409,-0.789278881198503,-0.203648632774673,-1.76976028657991,1.54505634554582,0.453969505408147,0.0167211600104099
"3",59.7,121.8,19.9,11.7,13,60,20,"Masculino","Ativ.Remunerada","Personalizado",21.4,56.3,-0.254520980397863,1.58829434001458,-0.0456857545883409,0.828026830542292,1.08255325843379,-1.07392425359465,-0.950995908970854,-1.16383158753693,2.07823403800635
"4",62.2,101,13.9,8.5,10,85.4,20,"Feminino","Estágio","Personalizado",19.1,52.9,0.0874239104187916,0.0513306464330743,-1.50762990141525,-0.789278881198503,0.117901840027442,1.56402130428979,-0.950995908970854,-1.87939745557033,0.910043407141982
"5",66.5,101.8,23.2,11.3,8,72.3,24,"Feminino","Estágio","Personalizado",29.7,50.4,0.675569122623437,0.110444634647747,0.758383526166459,0.625863616574693,-0.525199105576787,0.203506075617108,1.04584589464249,1.41842784927925,0.0510797079770094
"6",59.8,124,19.2,12.2,10,56.5,21,"Masculino","Ativ.Remunerada","Padrão",26.1,53.7,-0.240843184765198,1.75085780760493,-0.21624590505148,1.08073084800179,0.117901840027442,-1.4374206887362,-0.451785458067519,0.298411708009582,1.18491179087478
"7",60.2,106.5,17.4,8,7,58.8,22,"Masculino","Ativ.Remunerada","Padrão",25.4,49.6,-0.186132002234532,0.457739315408953,-0.654829149099553,-1.041982898658,-0.846749578378902,-1.19855160278604,0.0474249928358163,0.0806307916515893,-0.223788675755781
"8",47.8,82.3,14.4,12.2,10,65.7,22,"Masculino","Ativ.Remunerada","Personalizado",17.8,43.6,-1.88217866068514,-1.33045882808491,-1.38580122251301,1.08073084800179,0.117901840027442,-0.481944344935541,0.0474249928358163,-2.2838477288066,-2.28530155375172
"9",62,90.4,18.8,9,5,61.5,22,"Masculino","Ativ.Remunerada","Personalizado",26.3,47.6,0.0600683191534588,-0.731929697411346,-0.313708848173274,-0.536574863739004,-1.48985052398313,-0.918140067105409,0.0474249928358163,0.360634826969008,-0.910959635087759
"10",58.1,93.8,16.6,10.6,11,56,25,"Feminino","Estágio","Personalizado",22.3,45.9,-0.473365710520522,-0.480695247498985,-0.84975503534314,0.272077992131394,0.439452312829557,-1.48934875089928,1.54505634554582,-0.883827552219515,-1.49505495051994
"11",64.1,117.1,18.4,10.4,8,80.7,22,"Masculino","Estágio","Padrão",26.3,51.4,0.347302027439448,1.24099965925337,-0.411171791295068,0.170996385147594,-0.525199105576787,1.07589751995684,0.0474249928358163,0.360634826969008,0.394665187642999
"12",69.8,105,15.1,9.1,15,72.6,21,"Feminino","Ativ.Remunerada","Padrão",25.2,54.5,1.12693637850142,0.34690058750644,-1.21524107204987,-0.486034060247104,1.72565420403802,0.234662912914955,-0.451785458067519,0.0184076726921634,1.45978017460757
"13",70.3,105.6,26.8,10.5,7,76.6,20,"Masculino","Ativ.Remunerada","Personalizado",27.3,51.9,1.19532535666475,0.391236078667445,1.63555001426261,0.221537188639494,-0.846749578378902,0.650087410219591,-0.950995908970854,0.671750421766138,0.566457927475993
"14",70.9,101.5,19.9,7.5,9,61.8,26,"Masculino","Ativ.Remunerada","Personalizado",25.9,53.6,1.27739213046075,0.0882768890672451,-0.0456857545883409,-1.2946869161175,-0.203648632774673,-0.886983229807561,2.04426679644916,0.236188589050155,1.15055324290818
"15",62.2,92.2,24.3,9.7,8,68.3,22,"Masculino","Estudante","Padrão",22.5,49,0.0874239104187916,-0.598923223928331,1.02640661975139,-0.182789239295705,-0.525199105576787,-0.211918421687528,0.0474249928358163,-0.821604433260089,-0.429939963555375
"16",46.9,125,9.6,11.7,13,51.6,20,"Feminino","Ativ.Remunerada","Padrão",22.1,48.5,-2.00527882137914,1.82475029287327,-2.55535653997454,0.828026830542292,1.08255325843379,-1.94631569793438,-0.950995908970854,-0.946050671178941,-0.60173270338837
"17",69.7,107,18.2,5.7,10,70.9,22,"Feminino","Ativ.Remunerada","Padrão",23.7,50.9,1.11325858286876,0.494685558043123,-0.459903262855965,-2.2044213789717,0.117901840027442,0.0581075015604859,0.0474249928358163,-0.448265719503533,0.222872447810004
"18",68.5,72.5,17.3,7,11,74.2,23,"Feminino","Ativ.Remunerada","Padrão",24.8,50.9,0.949125035276761,-2.05460518371466,-0.679194884880001,-1.547390933577,0.439452312829557,0.40083271183681,0.546635443739151,-0.106038565226688,0.222872447810004
"19",59.8,109.8,15.1,7.7,6,80.7,18,"Masculino","Estágio","Padrão",22.1,52.1,-0.240843184765198,0.70158451679448,-1.21524107204987,-1.1936053091337,-1.16830005118102,1.07589751995684,-1.94941681077752,-0.946050671178941,0.635175023409192
"20",64.4,93.4,26.2,6.8,9,67,19,"Masculino","Ativ.Remunerada","Padrão",27.7,50.1,0.388335414337448,-0.510252241606321,1.48935559957991,-1.6484725405608,-0.203648632774673,-0.346931383311535,-1.45020635987419,0.79619665968499,-0.0519959359227864
